Province,latitude,longitude
Chiang Mai,18.7904,98.9847
Chiang Rai,19.9086,99.8325
Lampang,18.2923,99.4928
Lamphun,18.5805,99.0075
Mae Hong Son,19.3003,97.9685
Nan,18.7838,100.779
Phayao,19.192,99.8788
Phrae,18.1459,100.141
Uttaradit,17.6256,100.0942
Kalasin,16.4328,103.5066
Khon Kaen,16.4467,102.833
Chaiyaphum,15.8105,102.0288
Nakhon Phanom,17.4108,104.7786
Nakhon Ratchasima,14.9707,102.102
Bueng Kan,18.363,103.6519
Buriram,14.9943,103.1039
Maha Sarakham,16.1848,103.3007
Mukdahan,16.5453,104.7235
Yasothon,15.7941,104.1451
Roi Et,16.0567,103.6531
Loei,17.4905,101.7275
Sakon Nakhon,17.1612,104.1472
Surin,14.8818,103.4936
Sisaket,15.1,104.3333
Nong Khai,17.8785,102.742
Nong Bua Lamphu,17.2041,102.4407
Udon Thani,17.4157,102.7859
Ubon Ratchathani,15.2384,104.8487
Amnat Charoen,15.8585,104.6288
Bangkok,13.754,100.5014
Kamphaeng Phet,16.4834,99.5215
Chai Nat,15.1864,100.1235
Nakhon Nayok,14.2046,101.213
Nakhon Pathom,13.8196,100.0443
Nakhon Sawan,15.7047,100.1372
Nonthaburi,13.8607,100.5148
Pathum Thani,14.0135,100.5305
Ayutthaya,14.3517,100.5774
Phichit,16.4418,100.3488
Phitsanulok,16.8248,100.2586
Phetchabun,16.419,101.1606
Lopburi,14.7981,100.654
Samut Prakan,13.5993,100.5968
Samut Songkhram,13.4146,100.0026
Samut Sakhon,13.5475,100.2736
Sing Buri,14.8879,100.4046
Sukhothai,17.0078,99.823
Suphan Buri,14.4742,100.1222
Saraburi,14.5333,100.9167
Ang Thong,14.5884,100.4528
Uthai Thani,15.3794,100.0245
Chanthaburi,12.6096,102.1045
Chachoengsao,13.6882,101.0716
Chonburi,13.3622,100.9835
Trat,12.2436,102.5151
Prachin Buri,14.0499,101.3686
Rayong,12.6809,101.258
Sa Kaeo,13.8141,102.0722
Kanchanaburi,14.0041,99.5483
Tak,16.8697,99.129
Prachuap Khiri Khan,11.821,99.7841
Phetchaburi,13.1119,99.9447
Ratchaburi,13.5367,99.8171
Krabi,8.0726,98.9105
Chumphon,10.4957,99.1797
Trang,7.5563,99.6114
Nakhon Si Thammarat,8.4333,99.9667
Narathiwat,6.4264,101.8231
Pattani,6.8681,101.2501
Phang Nga,8.4509,98.5298
Phatthalung,7.6179,100.0779
Phuket,7.8906,98.3981
Ranong,9.9658,98.6348
Satun,6.6231,100.0668
Songkhla,7.1988,100.5951
Surat Thani,9.1401,99.3331
Yala,6.54,101.2813